Companies,URL,Description,Industry,Sub-Industry,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Company Status,Founded Year,City,State,Latest Valuation (M),Date of Exit,Latest Exit Round,Latest Full Year Revenue Min (M),Latest Full Year Revenue Max (M),Revenue Time Period
EdgeTrace,edgetrace.ai,"EdgeTrace is a company that offers AI-powered video analytics for law enforcement, transportation, and enterprise security. Their platform provides features such as real-time analytics, license plate recognition, vehicle re-identification, and behavior analysis, while ensuring privacy protection. EdgeTrace serves sectors that require security solutions, including law enforcement agencies and transportation authorities. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,0.50,"ZAKA Ventures, Y Combinator",0.50,Convertible Note,2024-01-01,Alive / Active,2024,San Francisco,California,,,,,,
Pegasi AI,pegasi.ai,"Pegasi AI focuses on AI alignment and quality enhancement within the enterprise AI sector. The company offers a corrective layer that improves AI outputs, explains AI decisions, and addresses risks. Pegasi AI provides tools for fine-tuning reasoning language models, generating synthetic data, and aligning AI agents. It was founded in 2024 and is based in New York, United States.",Internet Software & Services,Application & Data Integration,United States,0.40,Right Side Capital Management,0.40,Pre-Seed,2023-07-27,Alive / Active,2024,,New York,,,,,,
Assethub,assethub.io,"AssetHub engages in 3D model creation within the digital content generation sector. It offers services that transform images and concept art into 3D models, primarily for use in the gaming industry, and provides AI solutions for image and 3D content generation. AssetHub's solutions cater to the entertainment and gaming sectors, leveraging academic technical expertise to enhance digital asset creation. The company was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Multimedia & Graphics,United States,2.70,"Brinc, Mitsui Sumitomo Insurance, Progression Fund, Techstars Tokyo Accelerator, Aldrich Huang, Archetype Ventures, David Bennett, Jacob Vorso Pedersen, Michel Tolkin, Norihisa Hamada, Shintaro Yamada, Techstars, Tsuyoshi Ito",2.00,Seed VC,2025-08-01,Alive / Active,2024,San Francisco,California,,,,,,
KenRi,kenrisolutions.com,"KenRi focuses on leveraging technology to build a judicial system within the legal sector. The company offers services such as AI legal assistance, administrative support, and online dispute resolution, aimed at improving access to justice. These services are designed to uphold the trust in Japan's judicial system while addressing the needs of those who traditionally have limited access to legal services. It was founded in 2024 and is based in Chuo-ku, Japan.",Internet Software & Services,Legal,Japan,0.45,"Bengo4, East Ventures, ON&BOARD",0.45,Seed VC,2024-07-25,Alive / Active,2024,Chuo-ku,,,,,,,
Crestal Network,crestal.network,"Crestal Network provides a modular services platform operating in the blockchain sector. It offers a suite of services that enable web3 builders to discover, deploy, and upgrade modular services through a verifiable Proof of Performance system. It caters to a variety of sectors by providing infrastructure that supports applications such as Layer 2 rollups, on-chain AI training, and decentralized identity management. The company was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,2.00,"Artemis Capital, Builder Capital, Cogitent Ventures, Kyros Ventures, Layerlab, Lingfeng Capital, MH Ventures, NxGen, Pragma Ventures, Quotient Ventures, Smape Capital, Veris Ventures",2.00,Pre-Seed,2024-05-03,Alive / Active,2024,San Francisco,California,,,,,,
Darwin AI,darwingov.com,"Darwin AI focuses on AI governance and risk management for the public sector. The company provides a platform that allows state and local governments to manage AI tools while ensuring compliance. Its services include tracking AI usage, managing AI policies, and offering a marketplace for approved AI applications. It was founded in 2024 and is based in Tel Aviv, Israel.",Internet Software & Services,Compliance,Israel,20.00,"Resolute Ventures, UpWest, Insight Partners",15.00,Series A,2025-10-23,Alive / Active,2024,Tel Aviv,,,,,,,
Empirical Security,empiricalsecurity.com,"Empirical Security develops mathematical models within the security data domain focused on cybersecurity. The company provides global and local cybersecurity models that use machine learning to predict exploits and assist enterprises in making data-driven decisions. Its models are designed to address the specific context and threat landscape of each enterprise. Empirical Security was founded in 2024 and is based in Chicago, Illinois.",Internet Software & Services,Monitoring & Security,United States,12.00,"Costanoa Ventures, DNX Ventures, Gerhard Eschelbeck, HPA Holdings, Jonathan Cran, Sixty Degree Capital, Wade Baker",12.00,Seed VC,2025-07-17,Alive / Active,2024,Chicago,Illinois,39.90,,,,,
Lemonado,lemonado.io,"Lemonado is a no-code platform that specializes in enabling users to build and customize business software. The company provides tools for creating applications using drag-and-drop features and AI, without the need for coding knowledge, and offers functionalities for integrating various data sources, automating workflows, and collaborating on projects. Lemonado's services are geared towards businesses looking to operationalize data and streamline processes through custom software solutions. It was founded in 2024 and is based in Stockholm, Sweden.",Internet Software & Services,Collaboration & Project Management,Sweden,1.40,"Antler, Antler Brazil, Alexander Aghassipour, node.vc",1.40,Seed VC,2024-07-17,Alive / Active,2024,Stockholm,,,,,,,
Abiologics,abiologics.com,"Abiologics serves as a biotechnology firm focused on transcending traditional biologics and revolutionizing medicine. The company specializes in creating Synteins™, a new class of programmable biologics, using artificial intelligence and chemistry to overcome the limitations of existing therapeutics and enhance treatment across various diseases. Abiologics primarily serves the healthcare sector, with a focus on developing innovative treatments for a wide range of medical conditions. It was founded in 2024 and is based in Cambridge, Massachusetts.",Biotechnology,,United States,50.00,Flagship Pioneering,50.00,Series A,2024-07-23,Alive / Active,2024,Cambridge,Massachusetts,,,,,,
Barndoor AI,barndoor.ai,"Barndoor AI specializes in AI governance and management within the enterprise sector. It includes a centralized control plane for agentic AI, which provides access, policy enforcement, and visibility for AI operations. Barndoor AI serves IT, security, and business teams that are adopting AI within their organizations. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,13.60,"8-Bit Capital, Taurus Ventures, Crosslink Capital, Cyan Banister, Gaingels, Natalie Diggins, Precursor Ventures, Preface Ventures, Rob Hayes, Scott Banister",13.60,Seed VC,2025-05-20,Alive / Active,2024,New York,New York,,,,,,
ROCK,rockencantech.com.br,"ROCK specializes in customer engagement and technology solutions within the loyalty and marketplace sector. It offers a platform that includes loyalty programs, CRM, cashback systems, a mobile application, retail media, innovation labs, customer surveys, artificial intelligence, and data analytics, all aimed at enchanting customers through technology and exceptional experiences. The company primarily serves sectors that require customer-centric decision-making and engagement strategies. It was founded in 2024 and is based in Brazil.",Internet Software & Services,Customer Relationship Management,Brazil,55.41,Hindiana,55.41,Series A,2024-09-18,Alive / Active,2024,,,,,,,,
Donut,donutbrowser.ai,"Donut develops a crypto browser that operates within the blockchain and cryptocurrency domain. The company offers a browser that utilizes artificial intelligence to execute blockchain transactions, such as token swaps, yield farming, and portfolio optimization, while managing digital assets. Donut's technology is designed for crypto traders, builders, and decentralized finance (DeFi) users, with possible expansion as the integration of onchain and offchain environments evolves. It was founded in 2025 and is based in New York, New York.",Internet Software & Services,Asset & Financial Management & Trading,United States,22.00,"Altos Capital Partners, BITKRAFT, Hack VC, HongShan, MPCi, Makers Fund, Matrix Partners, Orthogonal Ventures, Sky9 Capital, Solana, Sonic, Vessel Capital, Altos Ventures",15.00,Seed VC,2025-11-03,Alive / Active,2025,New York,New York,,,,,,
Hammerhead AI,hammerheadco.ai,"Hammerhead AI focuses on revenue generation for AI factory operators through power-aware orchestration. The company provides a platform that employs reinforcement learning control agents to optimize token processing capacity and improve power utilization for AI workloads. Hammerhead AI serves sectors that require AI infrastructure, including data centers and AI cloud providers. It was founded in 2025 and is based in Redwood City, California.",Towers & Infrastructure,,United States,10.00,"AINA Climate AI Ventures, Acclimate Ventures, Bombellii Ventures, Buoyant Ventures, Clearvision Ventures, Jack Cogen, MCJ, SE Ventures, Stepchange Ventures, WovenEarth Ventures",10.00,Seed VC,2025-11-18,Alive / Active,2025,Redwood City,California,,,,,,
Panggea,panggea.com,"Panggea specializes in optimizing and automating customer interactions through its virtual sales assistant, Clara, within the retail technology sector. The company provides an AI-powered assistant that assists with sales conversion and data management by automating communication and offering real-time analytics to support decision-making and market strategy. Panggea serves the retail industry by providing tools for conversational marketing and customer engagement. It was founded in 2024 and is based in Barcelona, Spain.",Internet Software & Services,"Advertising, Sales & Marketing",Spain,0.56,Encomenda,0.56,Seed VC,2024-01-01,Alive / Active,2024,Barcelona,,,,,,,
Olive,fromolive.com,"Olive specializes in creating internal tools using natural language processing within the technology sector. The company offers a platform that allows users to build tools and dashboards connected to various data sources efficiently, leveraging artificial intelligence to assist in the process. Olive primarily serves businesses looking to enhance their internal operations without diverting engineering resources from their core product development. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,2.10,"1984 Ventures, Gustaf Alstromer, JJ Fliegelman, Jake Mintz, Karman Ventures, Theo Browne, Volo Ventures, Y Combinator",2.10,Seed VC,2025-04-12,Alive / Active,2024,San Francisco,California,,,,,,
Impala.ai,getimpala.ai,"Impala.ai specializes in AI technology, focusing on providing an AI inference engine for various industries. The company offers an AI platform designed to scale, ensuring performance and efficiency for AI-driven business value. Impala.ai primarily serves sectors that require AI processing capabilities, such as enterprises with large-scale AI needs. It was founded in 2025 and is based in Tel Aviv, Israel.",Internet Software & Services,Application & Data Integration,Israel,11.00,"Ignite DeepTech, NFX, Viola Ventures",11.00,Seed VC,2025-10-29,Alive / Active,2025,Tel Aviv,,,,,,,
Codes Health,getcodeshealth.com,"Codes Health provides automated medical record collection within the healthcare sector. The company provides services that include pulling patient records from health information exchanges and external providers, as well as processing files provided by patients. Codes Health also provides digital intake and release of information services, verifies provider information, and utilizes artificial intelligence to summarize clinical documents and track request progress. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,Healthcare,United States,0.50,"Costanoa Ventures, General Catalyst, Haystack Fund, Night Capital, Pathlight Ventures, Y Combinator",0.50,Convertible Note,2024-06-01,Alive / Active,2024,New York,New York,,,,,,
Altrove,altrove.ai,"Altrove focuses on the development of alternatives to critical inorganic materials within the materials science industry. The company uses AI and lab automation to design and manufacture substitutes that focus on supply chain security, cost stability, and regulatory compliance while aiming to reduce workplace hazards. Altrove's materials are designed for applications in energy, robotics, automotive, aerospace, and electronics sectors, addressing the need for critical material substitutes. It was founded in 2024 and is based in Paris, France.",Environmental & Energy Consulting,,France,13.98,"Creative Destruction Lab Computational Health Program, Creative Destruction Lab Space, Contrarian Ventures, Emblem, Julien Chaumond, Nikolaj Deichmann, Thomas Clozel, Alven Capital, Bpifrance, Entrepreneur First",10.00,Seed VC,2025-10-31,Alive / Active,2024,Paris,,,,,,,
Lendurai,lendurai.com,"Lendurai develops autonomous navigation systems for unmanned aerial vehicles (UAVs) within the aerospace and defense sectors. The company provides solutions that enable drones to operate independently of global navigation satellite systems and radio control by utilizing computer vision and machine learning technologies. Lendurai serves public sector and defense customers, working with various UAV manufacturers. It was founded in 2024 and is based in Tallinn, Estonia.",Operating Systems & Utility Software,,Estonia,6.36,"Lemonade Stand, Expeditions Fund, HCVC, Vsquared Ventures",6.36,Seed VC,2025-06-05,Alive / Active,2024,Tallinn,,,,,,,
C.Scale,cscale.io,"C.Scale specializes in building carbon analysis API within the sustainability and construction sectors. The company offers a tool that estimates whole-life carbon emissions for buildings, utilizing data science, machine learning, and industry knowledge to deliver reliable emissions calculations and material quantity estimations. It serves the architecture, real estate, and construction industries. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Environment,United States,2.00,"Third Derivative, Active Impact Investments, Wireframe Ventures",2.00,Pre-Seed,2025-01-03,Alive / Active,2024,San Francisco,California,,,,,,
Metrobloks,metrobloks.com,"Metrobloks specializes in developing and operating data centers with a focus on low-latency computing for hyperscalers and enterprise customers in various industries. The company offers multi-tenant data centers that are highly modular, standardized, energy-efficient, and sustainable, designed to meet the demands of hyperscale and enterprise clients. Metrobloks caters to sectors that require ultra-low latency for applications such as AI, IoT, gaming, and other latency-sensitive operations. It was founded in 2024 and is based in Los Angeles, California.",Internet Software & Services,Application & Data Integration,United States,115.20,"Current Equity Partners, Serena Capital, Venture Mint, Eurazeo",110.00,Seed VC - II,2025-03-24,Alive / Active,2024,Los Angeles,California,,,,,,
Opine,tryopine.com,"Opine specializes in streamlining technical pre-sales processes for deep-tech and startup enterprise software vendors. The company offers a suite of AI tools designed to automate proof-of-concept (POC) and pilot projects, enabling sales teams to efficiently manage customer engagements and accelerate the sales cycle. Opine's solutions cater to the needs of technical pre-sales teams looking to improve win rates and reduce customer acquisition costs. It was founded in 2024 and is based in Durham, North Carolina.",Internet Software & Services,Collaboration & Project Management,United States,3.79,"Primordial, Propel Venture Partners, WndrCo",2.00,Pre-Seed,2024-01-25,Alive / Active,2024,Durham,North Carolina,,,,,,
Mago,mago.studio,"Mago provides AI-driven video production software for the media and entertainment industry. Its software is capable of transforming and stylizing various types of video content, including film, 3D animation, and text-to-video, into different aesthetics using style transfer technology. Its tool is tailored for video production workflows, aiming to reduce the cost of producing stylized content for genres such as anime, sci-fi, and historical fiction. It was founded in 2024 and is based in Vincennes, France.",Internet Software & Services,Video,France,1.57,"Station F, Atlantic Labs",1.57,Pre-Seed,2024-11-26,Alive / Active,2024,Vincennes,,,,,,,
GibsonAI,gibsonai.com,"GibsonAI specializes in AI-powered backend development for software applications. The company offers services that generate production-ready Python code and live APIs that quickly cater to both technical and non-technical users. Its solutions are designed to interpret data models and determine API functionality. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,3.50,"F7, RiverPark Ventures, 1P Ventures, Oceans Ventures, Struck Capital",3.50,Seed VC,2024-07-23,Alive / Active,2024,New York,New York,,,,,,
Flow Computing,flow-computing.com,"Flow Computing specializes in enhancing CPU performance through its Parallel Processing Unit (PPU) technology within the technology sector. The company's main offering is the PPU architecture, which aims to improve CPU performance and enhance the efficiency of legacy applications with backward software compatibility. Flow Computing's solutions are applicable in sectors including AI, edge and cloud computing, multimedia processing, autonomous vehicles, and military-grade systems. It was founded in 2024 and is based in Helsinki, Finland.",Computer Product Distribution & Support Services,,Finland,4.30,"VTT, Business Finland, Butterfly Ventures, FOV Ventures, Sarsia Seed, Stephen Industries, Superhero Capital",4.30,Pre-Seed,2024-06-11,Alive / Active,2024,Helsinki,,,2024-01-01,Spinoff / Spinout,,,
Perle,perle.ai,"Perle specializes in AI training data management, focusing on data solutions for AI model development. The company provides data annotation, labeling, and model fine-tuning services, using a network of domain experts to ensure precision and speed in AI training. Perle's approach offers solutions designed to meet the needs of AI technology and industry. Perle was formerly known as Kiva AI. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,17.50,"ACTAI Ventures, Big Brain Holdings, Bill Tai, Breed VC, Brian Norgord, CoinFund, Cyrus Massoumi, Foresight Ventures, HashKey Capital, Jack Herrick, NGC Ventures, Paper Ventures, Peer, Protagonist, Slava Rubin, Framework Ventures",9.00,Seed VC,2025-08-07,Alive / Active,2024,San Francisco,California,67.41,,,,,
Minimal,gominimal.ai,"Minimal provides AI customer support agents for the e-commerce sector by focusing on automating customer service operations. The company offers AI solutions that integrate with existing ticketing systems, are trained using natural language, and can adapt to specific business processes and tone of voice. Minimal's AI agents can handle a portion of support tickets autonomously. It was founded in 2024 and is based in Amsterdam, Netherlands.",Internet Software & Services,Customer Relationship Management,Netherlands,0.50,"Eight Capital Group, Maiora Ventures, Rebel Fund, Y Combinator",0.50,Convertible Note,2025-06-01,Alive / Active,2024,Amsterdam,,,,,,,
Mecka AI,mecka.ai,"Mecka AI provides a data layer for AI robotics, focusing on generating human movement data. The company supports a capture network with a pipeline for large language models and embodied agents. Mecka AI serves sectors that require data for AI and robotics development. It was founded in 2024 and is based in Barbados.",Internet Software & Services,Application & Data Integration,Barbados,8.00,"A* Capital, Cade & Associates, Framework Ventures, Mechanism Capital, Neo, Offline Ventures, SV Angel, Tangent, Timeless Capital",8.00,Seed VC,2025-08-12,Alive / Active,2024,,,,,,,,
Speeral,speeral.io,"Speeral uses artificial intelligence in the second-hand market within the software publishing industry. The company provides solutions for brands to buy second-hand products from individuals in exchange for vouchers and to sell unsold inventory through second-hand channels. These solutions aim to create revenue and use geolocation services to increase in-store traffic while offering data analysis to improve product lifecycle management. It was founded in 2024 and is based in Nantes, France.",E-Commerce,E-Commerce Enablement,France,1.85,Aquiti Gestion,1.85,Seed VC,2025-02-10,Alive / Active,2024,Nantes,,,,,,,
Ridge Bio,ridgebio.com,"Ridge Bio specializes in biopharmaceutical development with a focus on antibody-drug conjugates (ADCs). The company employs machine learning tools to enhance the design and production of ADCs, offering services that streamline the drug development process for biopharma companies. Ridge Bio's expertise includes enzyme design, cell-free biologics, and biorthogonal chemistry, which are integral to the advancement of ADC technology. It was founded in 2024 and is based in Palo Alto, California.",Drug Discovery,,United States,25.00,"Overlap Holdings, Sutter Hill Ventures",25.00,Seed VC,2025-09-09,Alive / Active,2024,Palo Alto,California,,,,,,
General Intuition,generalintuition.com,"General Intuition is a research lab focused on building foundation models that require deep spatial and temporal reasoning within the gaming and real-world domains. The company develops artificial intelligence systems by utilizing interactive video data to train agents in complex environments. General Intuition serves the gaming industry, with the goal of improving gameplay experiences while ensuring that game developers, designers, and artists remain integral to the process. It was founded in 2025 and is based in Naarden, Netherlands.",Gaming,,Netherlands,133.70,"Medal, General Catalyst, Khosla Ventures, The Raine Group",133.70,Seed VC,2025-10-16,Alive / Active,2025,Naarden,,,2025-01-01,Spinoff / Spinout,,,
Upscale AI,upscaleai.com,"Upscale AI focuses on compute solutions within the AI networking sector. The company provides infrastructure that supports AI through open-standard networking solutions. Upscale AI's products aim to improve the scalability and interoperability of AI systems. It was founded in 2024 and is based in Santa Clara, California.",Internet Software & Services,Networking & Connectivity,United States,100.00,"Top Tier Capital Partners, Auradine, Celesta Capital, Cota Capital, MVP Ventures, Maverick Silicon, Mayfield, Qualcomm Ventures, Stanford University, Stepstone Group, Xora Innovation",100.00,Seed VC,2025-09-17,Alive / Active,2024,Santa Clara,California,,,,,,
Tandemn,tandemn.com,"Tandemn is a technology company that focuses on distributed inference solutions for the AI sector. The company provides a platform for the deployment and management of AI models across different hardware, facilitating batch inference. Tandemn serves sectors that need AI model inference, such as cloud computing and AI research. It was founded in 2025 and is based in San Francisco, California.",Internet Software & Services,Web Development,United States,1.70,"Afore Capital, Illini Angels, Jackson Square Ventures, LeapYear, OneSixOne Ventures, Precursor Ventures, SHAKTI",1.70,Seed VC,2025-07-01,Alive / Active,2025,San Francisco,California,,,,,,
Orbifold AI,orbifold.ai,"Orbifold AI is a data distillation platform that focuses on multimodal business data for the AI industry. The platform provides services for unstructured data transformation into datasets suitable for AI model development. Orbifold AI serves sectors such as finance, healthcare, and legal services by offering solutions that address data privacy and contextual understanding in AI applications. It was founded in 2024 and is based in Los Altos, California.",Internet Software & Services,Application & Data Integration,United States,5.00,"Hat-Trick Capital, Bonfire Ventures, Fusion Fund",5.00,Seed VC,2025-03-14,Alive / Active,2024,Los Altos,California,,,,,,
Nimt AI,nimt.ai,"Nimt AI is a company that operates in the AI search domain. Its main offerings include tracking, analyzing, and improving a brand's presence and performance on AI platforms such as ChatGPT and Perplexity, without the need for technical jargon or specific product names. Nimt AI serves businesses looking for their presence in AI-generated search results across various languages and markets. It was founded in 2025 and is based in Sweden.",Internet Software & Services,Search,Sweden,0.41,"Loop Capital, Skane Ventures",0.41,Pre-Seed,2025-07-11,Alive / Active,2025,,,,,,,,
DOJO AI,getdojo.ai,"DOJO AI provides an AI-powered Marketing Operating System for the marketing technology sector. The company offers a platform that integrates market research, brand strategy, content production, and performance analytics to assist with marketing operations for challenger brands. DOJO AI's system is designed to automate marketing tasks, provide competitive insights, and analyze campaign performance across various channels. It was founded in 2024 and is based in London, United Kingdom.",Internet Software & Services,"Advertising, Sales & Marketing",United Kingdom,1.06,"Angel Ways, Heartfelt",1.00,Pre-Seed,2025-06-03,Alive / Active,2024,London,England,,,,,,
Oraion,oraion.com,"Oraion provides enterprise intelligence solutions that focus on data analysis across various business sectors. The company offers a platform for real-time data analysis, workflow automation, and predictive analytics using machine learning, accessible through natural language queries. Oraion serves large enterprises aiming to improve their decision-making processes with insights derived from data. It was founded in 2024 and is based in London, United Kingdom.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United Kingdom,3.50,"Aidan Corbett, Angus Miln, Enterprise Ireland, Gearoid O’Brien, Juho Parkkinen, Maria O’Brien, Paul Forster, Pierre-Antoine Porte, Studio VC",3.50,Pre-Seed,2025-07-09,Alive / Active,2024,London,England,,,,,,
MAI,mai.co,"MAI provides marketing solutions in the advertising technology sector. The company offers services that optimize Google Ads by integrating ad platform data with ecommerce, CRM, and analytics data to identify growth opportunities and profitability. MAI serves growth-stage brands, mature brands, and digital-native products, using data analysis and machine learning to enhance ad spend and conversion value. It was founded in 2024 and is based in Wilmington, Delaware.",Internet Software & Services,"Advertising, Sales & Marketing",United States,25.00,"Gaorong Capital, Kleiner Perkins, UpHonest Capital",25.00,Seed VC,2025-09-30,Alive / Active,2024,Wilmington,Delaware,,,,,,
Forum AI,byforum.com,"Forum AI provides evaluation and improvement services for AI models in high-stakes domains. The company conducts assessments of AI model performance, offers evaluation frameworks, and provides recommendations to enhance AI systems. Forum AI's services are applicable in sectors where expert guidance is needed, such as news, mental health, ethics, finance, and education. It was founded in 2025 and is based in Nashville, Tennessee.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,3.00,"Lerer Hippeau, Perplexity",3.00,Seed VC,2025-10-28,Alive / Active,2025,New York,New York,,,,,,
Pinkfish,pinkfish.ai,"Pinkfish focuses on generative automation for the enterprise sector, using AI for workflow automation. The company provides a platform that allows users to create automation using natural language, integrate with various APIs, and automate browser tasks with minimal coding. Pinkfish's solutions are aimed at technical services teams, operations teams, and IT teams. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,7.90,"Norwest Venture Partners, Storm Ventures",7.90,Pre-Seed,2025-02-11,Alive / Active,2024,San Francisco,California,79.00,,,,,
PureblueAI,pureblueai.com,"PureblueAI provides AI marketing technology, focusing on generative AI optimization. It offers services that include a full-chain GEO service, self-research model algorithms for various industries, and a customizable AI worker platform. Its services are designed to assist brands in the AI landscape. It was founded in 2024 and is based in Chaoyang District, China.",Internet Software & Services,"Advertising, Sales & Marketing",China,1.40,"BlueFocus, InnoAngel Fund, Tsinghua Capital",1.40,Seed VC,2025-09-08,Alive / Active,2024,Chaoyang District,Beijing,,,,,,
Audos,audos.com,"Audos focuses on supporting entrepreneurs in the technology sector to develop AI businesses. The company provides tools and resources to assist these entrepreneurs in launching AI applications that can function continuously and enhance customer experiences. Audos serves the AI entrepreneurship ecosystem, aiding the creation of businesses that utilize AI technology. It was founded in 2024 and is based in New York.",Internet Software & Services,Customer Relationship Management,United States,11.50,"Bjarke Ingels, Bungalow Capital, Leila Zegna, Mario Schlosser, Niklas Zennstrom, Offline Ventures, True Ventures",11.50,Seed VC,2025-06-27,Alive / Active,2024,,New York,,,,,,
Voqo AI,voqo.ai,"Voqo AI specializes in voice AI technology for the property management sector. The company offers AI agents that manage inbound and outbound calls for service businesses, aiming to reduce missed calls. Voqo AI primarily serves the property management industry by providing solutions for business owners and employees. It was founded in 2024 and is based in Sydney, Australia.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Australia,0.52,"Blackbird Ventures, Mark Bouris, Startmate, UNSW Founders, Yellow Brick Road",0.52,Pre-Seed,2025-07-14,Alive / Active,2024,Sydney,New South Wales,,,,,,
Telepatia AI,telepatia.ai,"Telepatia AI focuses on AI technology in the medical sector. The company offers AI agents that provide real-time transcription, electronic health record integration, evidence-based clinical suggestions, and interoperability with medical systems. Telepatia AI primarily serves the healthcare industry, focusing on medical documentation and clinical decision-making. It was founded in 2025 and is based in Sao Paulo, Brazil.",Internet Software & Services,Healthcare,Brazil,9.00,"A* Capital, Abstract, Canary VC, Nido Ventures, Picus Capital, SV Angel",9.00,Seed VC,2025-10-10,Alive / Active,2025,Sao Paulo,,,,,,,
Normain,normain.com,"Normain is an AI platform focused on automating deep knowledge work across various industries. These tools are designed to integrate with platforms like SharePoint and Google Drive, allowing access to both private and public data sources. It was founded in 2024 and is based in Stockholm, Sweden.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Sweden,0.67,"Caroline Farberger, DHS Venture Partners, Joel Hellermark, Mattias Miksche",0.67,Seed VC,2024-09-18,Alive / Active,2024,Stockholm,,4.40,,,,,
Nekuda,nekuda.ai,"Nekuda provides services for agent-driven payments within the fintech industry. The company offers solutions for the storage and processing of payment information, tailored for AI, voice, and browser agents to enable transactions. Nekuda's services support AI-driven commerce. It was founded in 2024 and is based in Brooklyn, New York.",Internet Software & Services,Payments,United States,5.00,"American Express, Viola Ventures, American Express Ventures, Madrona Venture Group, Paul Klein, Sahar Mor, Shyamal Anadkat, Visa Ventures",5.00,Seed VC,2025-05-14,Alive / Active,2024,Brooklyn,New York,,,,,,
MeshDefend,meshdefend.ai,"MeshDefend focuses on AI-Ops for data infrastructure in the technology sector. The company provides an AI platform that automates tasks, analyzes, and resolves issues to improve security. MeshDefend serves organizations that are looking to update their data systems with AI. It was founded in 2025 and is based in Bengaluru, India.",,,India,2.30,"Kalaari Capital, Kettleborough VC",2.30,Pre-Seed,2025-11-06,Alive / Active,2025,Bengaluru,,,,,,,
Straiker,straiker.ai,"Straiker provides AI-native protection for AI applications and agents within the cybersecurity domain. The company offers automated attack simulations and a suite of security checks to identify and mitigate AI risks, as well as runtime guardrails for ongoing protection. These services aim to secure AI systems against various threats. It was founded in 2025 and is based in Sunnyvale, California.",Internet Software & Services,Monitoring & Security,United States,21.00,"Bain Capital Ventures, Lightspeed Venture Partners",21.00,Seed VC,2025-03-27,Alive / Active,2025,Sunnyvale,California,,,,,,
RunLayer,runlayer.com,"RunLayer focuses on security and management of AI deployments within enterprise environments. The company offers a platform that includes threat detection, permissions, and observability for AI tools, facilitating integration of AI into business operations. RunLayer serves sectors that require AI tool security and management, such as technology, finance, and healthcare. It was founded in 2025 and is based in New York, New York.",Internet Software & Services,Monitoring & Security,United States,11.00,"Nikita Shamgunov, Travis McPeak, David Soria Parra, Felicis, Khosla Ventures",11.00,Seed VC,2025-11-17,Alive / Active,2025,New York,New York,,,,,,
TwinMind,twinmind.com,"TwinMind focuses on AI notetaking tools in the technology sector. Their main offerings include a real-time AI notetaker that captures and summarizes discussions during meetings and lectures. TwinMind serves professionals and students who are interested in AI technology. It was founded in 2024 and is based in Menlo Park, California.",Internet Software & Services,Education & Training,United States,5.70,"Anand Rajaraman, Dan Roth, Michael Liou, Sequoia Capital, Streamlined Ventures, Wolfram Research",5.70,Seed VC,2025-09-10,Alive / Active,2024,Menlo Park,California,60.00,,,,,
Akua,akua.la,"Akua specializes in AI-driven payment infrastructure within the financial technology sector. The company offers a cloud-native platform that processes payments through multiple channels, networks, and methods via a single API, providing services such as real-time payment management, fraud prevention, and data analytics. Akua primarily serves banks, fintechs, payment gateways, and payment aggregators in the financial services industry. It was founded in 2024 and is based in Bogota, Colombia.",Internet Software & Services,Payments,Colombia,12.80,"Flourish Ventures, H20 Capital Innovation, IC Ventures, Plug and Play, Propel Venture Partners, Rally Cap VC, 4UM Investments, Atlantico, Cathay Capital, HTwenty Capital, Honey Island Capital, ICVentures, Krealo, SIMMA Capital",8.50,Seed VC - II,2025-10-07,Alive / Active,2024,Bogota,,,,,,,
Pieverse,pieverse.io,"Pieverse focuses on decentralized payment and compliance infrastructure. It offers personalized on-chain commerce applications powered by AI agents, enhancing user experience and transaction intelligence. It was founded in 2024 and is based in Delaware.",Internet Software & Services,Payments,United States,7.00,"10K Ventures, Animoca Brands, Morningstar Ventures, Serafund, Signum Capital, Sonic Labs, UOB Venture Management, Undefined Labs",7.00,Seed VC,2025-10-24,Alive / Active,2024,,Delaware,,,,,,
